,created_at,location,user,text
0,Mon Nov 01 11:34:52 +0000 2021,"Kendal, Indonesia🇮🇩",Viameilida1,@BlueSunkin Saham ga si
0,Mon Nov 01 11:34:22 +0000 2021,Tangerang,prakusyakp,Fred kek nya masih keluarga sama pemilik saham MU
0,Mon Nov 01 11:34:00 +0000 2021,"DKI Jakarta, Indonesia",T_IndonesiaPost,"Indeks Harga Saham Gabungan (IHSG) harus ditutup terkoreksi pada perdagangan hari ini, Senin (1/11), meskipun senti… https://t.co/8mN67rus57"
0,Mon Nov 01 11:29:40 +0000 2021,"Tangerang, Indonesia",RivanAgiestaPW,"@grumpyoldudesss Cek berita kompas pak ,kendaraan pribadi motor opo mobil , berkendara selama 4 jam wajib pcr wkwkw… https://t.co/4ZciBwRMZp"
0,Mon Nov 01 11:24:36 +0000 2021,"Jakarta, Indonesia",InvestorID,Analis Ini Prediksi Saham CPO Segera Rally https://t.co/qPm6S7au7w https://t.co/aMW7gvLQap
0,Mon Nov 01 11:22:33 +0000 2021,"Jakarta, Indonesia",Bisniscom,"Nasib Garuda GIAA, dari Opsi Lepas Saham Mayoritas hingga Laporan KPK https://t.co/82j4hFIKxu"
0,Mon Nov 01 11:21:47 +0000 2021,"DKI Jakarta, Indonesia",T_IndonesiaPost,"Juru Bicara Kemenko Marves, Jodi Mahardi menegaskan bahwa saham yang dimiliki oleh Luhut Binsar Pandjaitan melalui… https://t.co/3aeJFPcEcZ"
0,Mon Nov 01 11:12:29 +0000 2021,"Yogyakarta, Indonesia",ramadani_id,"Yuk download Ajaib untuk investasi saham dan reksa dana! Mudah, cepat, dan terdaftar di OJK. Dapatkan HADIAH SAHAM… https://t.co/SbfiDtydQb"
0,Mon Nov 01 11:09:28 +0000 2021,"Sleman, Yogyakarta",aquiladelfalco_,"ampun ngoten niku mas,anak e pemegang saham lho klub e sampean ditumbas bingung mengke. https://t.co/yTMOBUwmXk"
0,Mon Nov 01 10:59:19 +0000 2021,"Sleman, Yogyakarta",Wisnu_ID18,"@yaaaaak_ Iku menyombongkan diri nek 'aku ki anak e sek ndue saham loo gt,
Semacam koyo cah cilik sek kemaki ndue duit akeh, wkwkwk"
0,Mon Nov 01 10:59:04 +0000 2021,"Bali, Indonesia",edo_awp,Bantu saya merebut saham pizza hut @uranophile06 @wappsss @diancuk__
